NumberOfRacks,RackType,LocationDescription,Address,Status,Id
2,Hoop,Highland View Park,442 West Outer Drive,Installed,94
2,Hoop,Milt Dickens Park,"Athens Rd, Oak Ridge",Installed,95
4,Hoop,Scarboro Park,149 Carver Ave,Installed,96
2,Hoop,Oak Ridge Baseball Complex,37 Wilberforce Ave Oak Ridge (Tennessee) 37830,Installed,97
2,Hoop, Briarcliff Park, Briarcliff Rd & Deerfield Rd,Installed,98
1,Hoop,Vacant building adjacent to Sunspot,2204 Cumberland Ave,Installed,99
2,Hoop,Big Turtle Dog Park, Oak Ridge Turnpike,Installed,100
4,Bike corral, ,524 Gay street,Installed,101
1,Hitch,Farragut building,530 S. Gay street,Installed,102
1,Hitch,KUB - Miller Building,445 S. Gay street,Installed,103
3,Hitch,500 Block Market,515 Market St,Installed,104
1,Hitch,Near Rowing Man Statue,Northwest Corner of W Church Ave and S Gay St,Installed,105
3,Hoop,Sunsphere base,701 Henley,Installed,106
2,Hitch,World's Fair Park,954 Worlds Fair Drive,Installed,107
1,Hitch,Studio Four Design Inc,414 Clinch,Installed,108
2,Hitch,CTV,808 State St,Installed,109
4,Hitch,Daylight Building,577 Union Ave,Installed,110
1,Hitch,Daylight Building (Walnut),501 Union Ave,Installed,111
6,Hoop,Outdoor Knoxville,900 Volunteer Landing,Installed,112
3,Hitch, ,400 Block Union Ave,Installed,113
3,Hitch,Knoxville Coliseum,500 Howard Baker,Installed,114
3,Hoop,Knoxville Museum of Art,1050 Worlds Fair Park Drive,Installed,115
3,Hoop,L&N Stem Academy,401 Henley St,Installed,116
6,Hoop,Old City Java,109 S Central,Installed,117
2,Hitch,West Jackson Workshops,514 W Jackson,Installed,118
2,Hoop,Knoxville Zoo,3500 Knoxville Zoo Dr,Installed,119
1,Hoop,Pepsi,2708 Federal Road,Installed,120
1,Hoop,John T O'Connor Center,611 Winona St,Installed,121
3,Hoop,Jacob Building,3301 Magnolia,Installed,122
2,Hoop,Picnic Shelter near Beaman entrance,516 N Beaman St,Installed,123
1,Hoop,Boxing Arena,401 Lakeside St,Installed,124
2,Hoop,Piece by Peace,1526 Washington,Installed,125
4,Hoop,PSCC,1610 Magnolia,Installed,126
2,Hoop,Last Days of Autumn Brewing,808 E Magnolia,Installed,127
1,Hoop,HomeSource,109 Winona,Installed,128
1,Hoop,South Knox Elementary,801 Sevier Ave,Installed,129
5,Hoop,South Doyle Middle School,3900 Decatur,Installed,130
1,Hoop,Round Up Restaurant,3463 Sevierville Pike,Installed,131
3,Hoop,Mooreland Heights Elementary,5315 Magazine,Installed,132
4,Hoop - Rail mounted,Ijams Naure Center,2915 Island Home Ave,Installed,133
6,Ulockit,Dogwood Elementary,"705 Tipton Ave, 37920",Installed,134
5,Hoop,Public House/Tn Valley Bikes,214 W Magnolia,Installed,135
1,Hitch, ,Northwest corner of N Central St and Third Ave,Installed,136
4,Hitch,Broadway and Glenwood Building,1328 N Broadway,Installed,137
5,Bike corral,Central Flats & Taps,1204 N Central,Installed,138
7,Hoop - Rail mounted,Hops and Hollers,931 N Central,Installed,139
2,Hitch,South side of Flats and Taps,100 E Anderson Ave,Installed,140
3,Hoop,Fulton High School,2509 N Broadway,Installed,141
2,Hoop,Birdhouse,400 N 4th Ave,Installed,142
5,Hoop,Beaumont Elementary,1211 Beaumont Ave,Installed,143
6,Hoop - Rail mounted,Crafty Bastard,6 Emory Place,Installed,144
3,Hoop,Central Collective,923 Central,Installed,145
2,Hoop,Makers Donuts,804 Tyson,Installed,146
1,Hitch,Companion Animal Hospital,"2930 Tazewell Pk, 37918",Installed,147
4,Hoop,Maple Chase Condos,4807 Poplar Crest Way,Installed,148
4,Hoop,Krogers,5201 N Broadway,Installed,149
9,Hoop,PSCC,3435 Division Street,Installed,150
3,Hoop - Rail mounted,Pinnacle Tower,"1111 Northshore Dr, 37919",Installed,151
3,Hoop,Westview Tower,"7823 Gleason Drive, 37919",Installed,152
2,Hoop,Union Jacks,124 S Northshore,Installed,153
2,Hoop,Bearden Elementary School,5717 Kingston Pike,Installed,154
1,Hoop,WVLT,6450 Papermill,Installed,155
7,Hoop,Northwest Middle School,"5301 Pleasant Ridge Rd, 37912",Installed,156
