NumberOfRacks,RackType,LocationDescription,Coordinates,Status,Id
4,Hitch,Broadway and Glenwood Building,,Installed,137
5,Bike corral,Central Flats & Taps,,Installed,138
7,Hoop - Rail mounted,Hops and Hollers,,Installed,139
2,Hitch,South side of Flats and Taps,,Installed,140
3,Hoop,Fulton High School,,Installed,141
2,Hoop,Birdhouse,,Installed,142
5,Hoop,Beaumont Elementary,,Installed,143
6,Hoop - Rail mounted,Crafty Bastard,,Installed,144
3,Hoop,Central Collective,,Installed,145
2,Hoop,Makers Donuts,,Installed,146
1,Hitch,Companion Animal Hospital,,Installed,147
4,Hoop,Maple Chase Condos,,Installed,148
4,Hoop,Krogers,,Installed,149
9,Hoop,PSCC,,Installed,150
3,Hoop - Rail mounted,Pinnacle Tower,,Installed,151
3,Hoop,Westview Tower,,Installed,152
2,Hoop,Union Jacks,,Installed,153
2,Hoop,Bearden Elementary School,,Installed,154
1,Hoop,WVLT,,Installed,155
7,Hoop,Northwest Middle School,,Installed,156
3,Ulockit,Adrian Burnett Elementary School,,Installed,157
19,Hoop,Maryville College,,Installed,158
3,Hoop,Blount County Library,,Installed,159
4,Hoop,Vienna Coffee,,Installed,160
3,Hoop,Vienna Coffe,,Installed,161
4,Other,3 Rivers Market,,Installed,162
3,Hoop,3 Rivers market,,Installed,163
3,Hoop,Clayton Park,,Installed,164
1,Hitch,Pete's Coffee,,Installed,165
1,Hitch,Yassin's Falafel,,Planned,166
1,Hitch,Parkway Shopping Center,,Installed,167
4,Ulockit,Shoneys,,Installed,168
2,Hoop,Knox County Health Department,,Installed,169
4,Ulockit,Minvilla Manor,,Installed,170
4,Hoop,K Brew,,Installed,171
5,Hoop,Lonsdale Elementary,,Installed,172
4,Hoop,Tomato Head,,Installed,173
2,Hoop,Next to Capitol Coffee,,Installed,174
2,Hoop,Professional Hair Design,,Installed,175
1,Hoop,National Fitness Maryville,,Installed,176
2,Hoop,Southland Cafe,,Installed,177
2,Hoop,Alcoa City Hall,,Installed,178
1,Hoop,Tennessee Vein Center,,Installed,179
,Hoop,Creech Property,,Installed,180
2,Hoop,3 Minute Car Wash,,Installed,181
3,Hoop,GSMNP,,Installed,182
5,Hoop,Oak Ridge Unitarian Universalist Church,,Installed,183
8,Hoop,Jackson Square,,Installed,184
,Hoop,Lasalle Park West,,Installed,185
,Hitch,,,To Be Replaced,186
,Hitch,,,To Be Replaced,187
1,Hitch,First Tennessee Plaza,,Installed,188
5,Bike corral,on street near,,Installed,189
1,Hoop,(formerly Marie's),,Installed,190
1,Hoop,Regions Bank,,Installed,191
2,Hoop,Central United Methodist Church,,Installed,192
4,Hoop,The Restoration House,,Installed,193
3,Hoop,Sam Duff Park,,Installed,194
2,Hoop,Mill and Mine,,Installed,195
1,Hitch,World's Fair Park,,Installed,196
2,Hoop,HoneyBee Coffee,,Installed,197
1,,Karns Middle School,,Installed,198
3,Hoop,Alliance Brewing Company,,Installed,199
1,Ulockit,Renegade Yoga,,Installed,200
1,Hitch,,,Installed,201
1,Hoop,EdFinancial,,Installed,202
10,Hoop,Maryville College,,Installed,203
4,Ulockit,UT Institute of Public Service,,Installed,204
2,Hitch,YMCA,,Installed,205
1,Hoop,A Dopo Pizza,,Installed,206
1,Hitch,outside of Central Depot Bar,,Installed,207
